symbol_index,cur_rms,est_rms,gain_sym
3.800000000000000000e+01,4.542465368302397444e-01,4.473728269790022694e-01,1.117636051738716496e+00
3.900000000000000000e+01,4.470826927838887910e-01,4.473322081916863979e-01,1.117737535647656655e+00
4.000000000000000000e+01,4.540845457227016269e-01,4.482775354460285522e-01,1.115380451760779046e+00
4.100000000000000000e+01,4.498117921332119296e-01,4.484923313822342106e-01,1.114846263834704532e+00
4.200000000000000000e+01,4.612682769125072690e-01,4.502809637564724188e-01,1.110417806315297407e+00
4.300000000000000000e+01,4.516799785580300486e-01,4.504768258286905303e-01,1.109935009598345790e+00
4.400000000000000000e+01,4.311862537386921268e-01,4.477761457360907582e-01,1.116629380017685857e+00
4.500000000000000000e+01,3.929280747907681892e-01,4.400974158037456174e-01,1.136112101651074013e+00
4.600000000000000000e+01,4.581907188514975915e-01,4.426304782304308905e-01,1.129610419054114079e+00
4.700000000000000000e+01,4.628658770163678327e-01,4.454634340604620713e-01,1.122426582676897766e+00
4.800000000000000000e+01,4.444361692483489445e-01,4.453196169867662535e-01,1.122789073122863801e+00
4.900000000000000000e+01,4.225051440060363372e-01,4.421255907694640608e-01,1.130900383146365318e+00
5.000000000000000000e+01,4.347297521067367554e-01,4.410901733566822136e-01,1.133555064704833137e+00
5.100000000000000000e+01,4.406292140349512554e-01,4.410256390516398839e-01,1.133720935307016786e+00
5.200000000000000000e+01,4.283120507332462967e-01,4.392457366870647917e-01,1.138314975510436922e+00
5.300000000000000000e+01,4.239602577466197175e-01,4.371057696354024857e-01,1.143887897926990638e+00
5.400000000000000000e+01,4.006964877655718182e-01,4.320084701736262023e-01,1.157384714700264272e+00
5.500000000000000000e+01,4.074031292045278141e-01,4.285637224379524324e-01,1.166687644851671202e+00
5.600000000000000000e+01,4.638152684456866015e-01,4.334989388790352338e-01,1.153405360790332734e+00
5.700000000000000000e+01,4.626109595434566013e-01,4.375746217720541953e-01,1.142662245756256523e+00
5.800000000000000000e+01,4.605364721843123177e-01,4.407892808297703136e-01,1.134328854501106765e+00
5.900000000000000000e+01,4.547840375929185219e-01,4.427485467766110738e-01,1.129309183825001117e+00
6.000000000000000000e+01,4.584072661691777073e-01,4.449407674915704103e-01,1.123745083685712576e+00
6.100000000000000000e+01,4.552589497435121091e-01,4.463853130068422548e-01,1.120108537245569913e+00
6.200000000000000000e+01,4.510650538565931789e-01,4.470404767258073786e-01,1.118466953288159260e+00
6.300000000000000000e+01,4.541469034735235999e-01,4.480353764704876340e-01,1.115983304574913015e+00
6.400000000000000000e+01,4.752792692377658113e-01,4.518495214579065777e-01,1.106563084069967395e+00
6.500000000000000000e+01,4.763236173288574182e-01,4.552758948798396599e-01,1.098235170416752116e+00
6.600000000000000000e+01,4.672140682878175855e-01,4.569472391569565639e-01,1.094218231676973296e+00
6.700000000000000000e+01,4.535889570596021159e-01,4.564770796633269567e-01,1.095345247933966926e+00
6.800000000000000000e+01,4.548097732817029670e-01,4.562436567698995860e-01,1.095905647302332531e+00
6.900000000000000000e+01,4.528838908815580044e-01,4.557732895455317568e-01,1.097036644026613050e+00
7.000000000000000000e+01,4.600384672188055912e-01,4.563704144197900936e-01,1.095601257666272588e+00
7.100000000000000000e+01,4.634124413114389385e-01,4.573562981846209241e-01,1.093239563956250882e+00
7.200000000000000000e+01,4.488709238355145237e-01,4.561683457757459981e-01,1.096086575559545251e+00
7.300000000000000000e+01,4.624814587171821034e-01,4.570521815875470129e-01,1.093966991390952215e+00
7.400000000000000000e+01,4.513147061316053477e-01,4.562489350237151631e-01,1.095892968986351024e+00
7.500000000000000000e+01,4.274152739829208403e-01,4.522122224780039668e-01,1.105675554853718046e+00
7.600000000000000000e+01,4.314220631382805204e-01,4.493016001704426832e-01,1.112838235631310679e+00
7.700000000000000000e+01,4.340651737182663061e-01,4.471685004671380192e-01,1.118146737701048110e+00
7.800000000000000000e+01,4.196030322588645278e-01,4.433093349179797471e-01,1.127880603038754037e+00
7.900000000000000000e+01,4.572618775523154544e-01,4.452626908867867161e-01,1.122932619852335501e+00
8.000000000000000000e+01,4.513650390981263083e-01,4.461170196363742346e-01,1.120782166991847184e+00
8.100000000000000000e+01,4.638566667034171309e-01,4.486005702257602756e-01,1.114577272490698601e+00
8.200000000000000000e+01,4.690571808138153664e-01,4.514644957080879983e-01,1.107506802314072836e+00
8.300000000000000000e+01,4.679838911395505230e-01,4.537772110684927807e-01,1.101862296748371550e+00
8.400000000000000000e+01,4.688869160931747326e-01,4.558925697719482528e-01,1.096749614169223452e+00
8.500000000000000000e+01,4.667913959307464777e-01,4.574184054341799976e-01,1.093091126329736706e+00
8.600000000000000000e+01,4.561263956815364562e-01,4.572375240688099085e-01,1.093523548878186036e+00
8.700000000000000000e+01,4.449387480082857560e-01,4.555156954203365416e-01,1.097657018247449434e+00
8.800000000000000000e+01,4.378089626502305598e-01,4.530367528325216497e-01,1.103663216888806531e+00
8.900000000000000000e+01,4.759253673537304219e-01,4.562411588654908812e-01,1.095911647347472373e+00
9.000000000000000000e+01,4.806519648801031996e-01,4.596586717075366035e-01,1.087763661985541752e+00
9.100000000000000000e+01,4.374942436617997865e-01,4.565556517811334425e-01,1.095156741679529588e+00
9.200000000000000000e+01,4.408977155430073291e-01,4.543635407077957766e-01,1.100440407742911963e+00
9.300000000000000000e+01,4.316318629691452413e-01,4.511811058243846984e-01,1.108202434777083356e+00
9.400000000000000000e+01,4.215052848038604028e-01,4.470264908815113070e-01,1.118501946079365261e+00
9.500000000000000000e+01,4.670555322815820865e-01,4.498305566775212538e-01,1.111529647281042088e+00
9.600000000000000000e+01,4.622488362120799055e-01,4.515691158123594784e-01,1.107250213736417299e+00
9.700000000000000000e+01,4.519078987012686843e-01,4.516165454168067916e-01,1.107133928272134193e+00
9.800000000000000000e+01,4.660106243814506333e-01,4.536317164718569050e-01,1.102215700191280012e+00
9.900000000000000000e+01,4.618676290660648776e-01,4.547847442350460567e-01,1.099421223640662415e+00
1.000000000000000000e+02,4.537370714570121422e-01,4.546380700461213342e-01,1.099775916146390697e+00
1.010000000000000000e+02,4.576165336900628877e-01,4.550550549562731861e-01,1.098768148060778271e+00
1.020000000000000000e+02,4.520734067643489840e-01,4.546376242094037901e-01,1.099776994632768234e+00
1.030000000000000000e+02,4.262844819860044376e-01,4.506681842981278829e-01,1.109463719474010901e+00
1.040000000000000000e+02,3.974842300360215130e-01,4.432224307014329678e-01,1.128101750646311574e+00
1.050000000000000000e+02,4.694431514160049002e-01,4.468933316014730428e-01,1.118835222284959130e+00
1.060000000000000000e+02,4.567560579260104281e-01,4.482741132869082490e-01,1.115388966661087888e+00
1.070000000000000000e+02,4.329136076349183737e-01,4.461236424956296909e-01,1.120765528594235061e+00
1.080000000000000000e+02,4.285668182440333096e-01,4.436656871004062141e-01,1.126974689586135892e+00
1.090000000000000000e+02,4.281152725703762374e-01,4.414886290662020096e-01,1.132531999878583662e+00
1.100000000000000000e+02,4.204540660592309131e-01,4.385437902452260506e-01,1.140136996855909635e+00
1.110000000000000000e+02,4.578765271599942732e-01,4.412503734132936506e-01,1.133143516983902810e+00
1.120000000000000000e+02,4.643940619510452117e-01,4.444904898085788592e-01,1.124883459745846359e+00
1.130000000000000000e+02,4.542465368302397444e-01,4.458563363916113742e-01,1.121437465813724277e+00
1.140000000000000000e+02,4.470826927838887910e-01,4.460280262865302103e-01,1.121005790068442920e+00
1.150000000000000000e+02,4.540845457227016269e-01,4.471559390075942053e-01,1.118178148566440822e+00
1.160000000000000000e+02,4.498117921332119296e-01,4.475277584451806678e-01,1.117249132740102180e+00
1.170000000000000000e+02,4.612682769125072690e-01,4.494514310306063631e-01,1.112467255590852577e+00
1.180000000000000000e+02,4.516799785580300486e-01,4.497634276844456602e-01,1.111695547533047446e+00
1.190000000000000000e+02,4.311862537386921268e-01,4.471626233320401544e-01,1.118161433695511464e+00
1.200000000000000000e+02,3.929280747907681892e-01,4.395697865362621082e-01,1.137475812293465616e+00
1.210000000000000000e+02,4.581907188514975915e-01,4.421767170603950747e-01,1.130769623792080125e+00
1.220000000000000000e+02,4.628658770163678327e-01,4.450731994542312386e-01,1.123410712244912624e+00
1.230000000000000000e+02,4.444361692483489445e-01,4.449840152254077585e-01,1.123635867564195090e+00
1.240000000000000000e+02,4.225051440060363372e-01,4.418369732546957862e-01,1.131639111858065982e+00
1.250000000000000000e+02,4.347297521067367554e-01,4.408419622939815374e-01,1.134193300016589800e+00
1.260000000000000000e+02,4.406292140349512554e-01,4.408121775377172868e-01,1.134269935084128766e+00
1.270000000000000000e+02,4.283120507332462967e-01,4.390621597850913327e-01,1.138790917998344643e+00
1.280000000000000000e+02,4.239602577466197175e-01,4.369478934997053088e-01,1.144301202587985955e+00
1.290000000000000000e+02,4.006964877655718182e-01,4.318726966969266279e-01,1.157748576893442127e+00
1.300000000000000000e+02,4.074031292045278141e-01,4.284469572479908117e-01,1.167005603707889971e+00
1.310000000000000000e+02,4.638152684456866015e-01,4.333985208156682090e-01,1.153672603817350151e+00
1.320000000000000000e+02,4.626109595434566013e-01,4.374882622375585450e-01,1.142887805589849703e+00
1.330000000000000000e+02,4.605364721843123177e-01,4.407150116301040699e-01,1.134520011357485370e+00
1.340000000000000000e+02,4.547840375929185219e-01,4.426846752648980754e-01,1.129472123020307972e+00
1.350000000000000000e+02,4.584072661691777073e-01,4.448858379914971684e-01,1.123883831090968899e+00
1.360000000000000000e+02,4.552589497435121091e-01,4.463380736367792423e-01,1.120227086893980095e+00
1.370000000000000000e+02,4.510650538565931789e-01,4.469998508675531723e-01,1.118568605849828090e+00
1.380000000000000000e+02,4.541469034735235999e-01,4.480004382323889978e-01,1.116070336834442012e+00
1.390000000000000000e+02,4.752792692377658113e-01,4.518194745731417550e-01,1.106636672694059964e+00
