symbol_index,cur_rms,est_rms,gain_sym
7.800000000000000000e+01,1.982310365314866318e-01,2.625521259180255695e-01,1.904383741901639615e+00
7.900000000000000000e+01,2.556714406721843913e-01,2.615888299836077735e-01,1.911396599125933848e+00
8.000000000000000000e+01,2.842197508287021557e-01,2.647571589019209748e-01,1.888523060429215805e+00
8.100000000000000000e+01,3.038328199670549123e-01,2.702277514510397216e-01,1.850291087111350041e+00
8.200000000000000000e+01,3.020831068580562273e-01,2.746875012080220446e-01,1.820250276409001389e+00
8.300000000000000000e+01,3.300575117901255462e-01,2.824393026895165026e-01,1.770291865327420222e+00
8.400000000000000000e+01,3.396560139768518560e-01,2.904496422697434577e-01,1.721468809851881554e+00
8.500000000000000000e+01,3.381511074773779213e-01,2.971278473988122615e-01,1.682777310767804790e+00
8.600000000000000000e+01,3.470646738391545139e-01,3.041190031004601391e-01,1.644093249361448628e+00
8.700000000000000000e+01,3.037881211389068525e-01,3.040726796258426678e-01,1.644343716164317293e+00
8.800000000000000000e+01,2.655091165648312268e-01,2.986737807973010583e-01,1.674067267187847596e+00
8.900000000000000000e+01,3.387219395396626753e-01,3.042805230212316525e-01,1.643220522416124929e+00
9.000000000000000000e+01,3.309763354092816745e-01,3.080179367555586634e-01,1.623282089564794584e+00
9.100000000000000000e+01,3.071057313935228184e-01,3.078902280048736451e-01,1.623955405275432806e+00
9.200000000000000000e+01,3.053940490045521927e-01,3.075407629448286273e-01,1.625800740078471085e+00
9.300000000000000000e+01,3.209849786074004951e-01,3.094229531375887188e-01,1.615911149867633956e+00
9.400000000000000000e+01,2.741189736036357960e-01,3.044803960028353296e-01,1.642141847435537372e+00
9.500000000000000000e+01,3.443374194062533977e-01,3.100603792793138469e-01,1.612589138806353350e+00
9.600000000000000000e+01,3.494501285067881380e-01,3.155749441711602210e-01,1.584409691692164612e+00
9.700000000000000000e+01,3.533325370253060926e-01,3.208610071707406752e-01,1.558307144918776643e+00
9.800000000000000000e+01,3.308482278603394611e-01,3.222592180672845252e-01,1.551545997655852771e+00
9.900000000000000000e+01,3.464070279931294460e-01,3.256399114569027975e-01,1.535438324384181374e+00
1.000000000000000000e+02,3.492389425113598400e-01,3.289437758045267723e-01,1.520016600943750795e+00
1.010000000000000000e+02,3.373858037057178016e-01,3.301256597106935198e-01,1.514574784759767923e+00
1.020000000000000000e+02,3.382505401427383096e-01,3.312631429711798137e-01,1.509374074988778514e+00
1.030000000000000000e+02,2.967387102067680082e-01,3.264297223841621243e-01,1.531723264499701198e+00
1.040000000000000000e+02,2.651937377797556339e-01,3.178566845395451868e-01,1.573035976022690852e+00
1.050000000000000000e+02,3.382534906322905432e-01,3.207122373925295200e-01,1.559030001677281563e+00
1.060000000000000000e+02,3.262016578340857231e-01,3.214807562543474106e-01,1.555303047764428959e+00
1.070000000000000000e+02,2.986450598244213550e-01,3.182837587541577640e-01,1.570925271076114793e+00
1.080000000000000000e+02,2.972829617255609569e-01,3.153436471701542287e-01,1.585571818195558036e+00
1.090000000000000000e+02,3.170037213270049392e-01,3.155760575521133204e-01,1.584404101751069716e+00
1.100000000000000000e+02,2.786814939221347043e-01,3.104108186439162864e-01,1.610768600734784561e+00
1.110000000000000000e+02,3.402854819753586280e-01,3.145932715103181843e-01,1.589353763351549542e+00
1.120000000000000000e+02,3.403992864358936221e-01,3.182061135998987544e-01,1.571308590974095809e+00
1.130000000000000000e+02,3.444649069572279232e-01,3.218823446699248247e-01,1.553362613015406124e+00
1.140000000000000000e+02,3.264826060023872656e-01,3.225263812564695964e-01,1.550260781930905774e+00
1.150000000000000000e+02,3.436010922324719830e-01,3.254768407931099561e-01,1.536207610905951038e+00
1.160000000000000000e+02,3.419169660710619230e-01,3.277784583320232370e-01,1.525420561632896854e+00
1.170000000000000000e+02,3.259834699059278029e-01,3.275271599523699173e-01,1.526590955304933050e+00
1.180000000000000000e+02,3.313743450539353153e-01,3.280657658665890319e-01,1.524084656255568104e+00
1.190000000000000000e+02,2.943273581446310128e-01,3.233423887855149115e-01,1.546348444687432266e+00
1.200000000000000000e+02,2.642365449688756085e-01,3.150675706511854024e-01,1.586961168255412780e+00
1.210000000000000000e+02,3.339928313806144744e-01,3.177171071533054780e-01,1.573727031823750844e+00
1.220000000000000000e+02,3.171848379515156968e-01,3.176425894650549142e-01,1.574096221926836181e+00
1.230000000000000000e+02,2.969788491162220212e-01,3.147496658162182714e-01,1.588564037719897293e+00
1.240000000000000000e+02,3.022359571179110693e-01,3.129977465984552509e-01,1.597455590124263525e+00
1.250000000000000000e+02,2.815068151595894186e-01,3.085890161970140100e-01,1.620278019489788113e+00
1.260000000000000000e+02,2.722956402375733553e-01,3.035079435626923394e-01,1.647403340192051369e+00
1.270000000000000000e+02,2.697164093047829669e-01,2.987771287665850206e-01,1.673488201938700737e+00
1.280000000000000000e+02,2.768889831046643657e-01,2.957127883739161245e-01,1.690829817504447830e+00
1.290000000000000000e+02,3.097670102055414820e-01,2.976803794303437001e-01,1.679653865521219203e+00
1.300000000000000000e+02,2.634712077273138053e-01,2.928910953919195426e-01,1.707119157483933281e+00
1.310000000000000000e+02,3.240576882174721618e-01,2.972544183874968882e-01,1.682060783864301357e+00
1.320000000000000000e+02,3.090351159139379522e-01,2.989037160411986416e-01,1.672779471002239893e+00
1.330000000000000000e+02,3.465405911857467047e-01,3.055728785614353904e-01,1.636270870483929718e+00
1.340000000000000000e+02,3.400138940251518638e-01,3.103946207263557078e-01,1.610852658560731454e+00
1.350000000000000000e+02,3.431256593197783422e-01,3.149769661294348766e-01,1.587417664676257001e+00
1.360000000000000000e+02,3.377928128699393961e-01,3.181711846731055116e-01,1.571481089696128430e+00
1.370000000000000000e+02,3.348628937672467609e-01,3.205080239462853031e-01,1.560023346198022631e+00
1.380000000000000000e+02,3.329225788741229097e-01,3.222460616361825791e-01,1.551609343063135693e+00
1.390000000000000000e+02,3.349689023533284904e-01,3.240272593365830511e-01,1.543080051424393861e+00
1.400000000000000000e+02,3.304688642347735628e-01,3.249290840223297283e-01,1.538797308663323760e+00
1.410000000000000000e+02,3.319117157570077303e-01,3.259066524651846875e-01,1.534181632126742301e+00
1.420000000000000000e+02,3.319247901522648370e-01,3.267491917413758995e-01,1.530225667385133770e+00
1.430000000000000000e+02,3.380818290039284135e-01,3.283357609581332714e-01,1.522831380112006583e+00
1.440000000000000000e+02,3.346595125684749261e-01,3.292210861835810909e-01,1.518736256526378003e+00
1.450000000000000000e+02,3.299454861262386407e-01,3.293225021755531445e-01,1.518268556496826349e+00
1.460000000000000000e+02,3.297233748769816675e-01,3.293786243537531466e-01,1.518009861693390361e+00
1.470000000000000000e+02,3.348364385794767584e-01,3.301427183453544689e-01,1.514496525944763805e+00
1.480000000000000000e+02,3.339027509602591204e-01,3.306691229114411268e-01,1.512085542180811926e+00
1.490000000000000000e+02,3.350034571939731753e-01,3.312759297109956202e-01,1.509315815478048384e+00
1.500000000000000000e+02,6.556884309607015349e-02,2.940769375849060507e-01,1.700235333332249965e+00
1.510000000000000000e+02,5.181830162532598261e-02,2.601607285505648237e-01,1.921888836895765396e+00
1.520000000000000000e+02,3.737212564469831466e-02,2.289703241437435199e-01,2.183689095387351564e+00
1.530000000000000000e+02,2.734998852795809954e-02,2.007434771575335453e-01,2.490740954973220678e+00
1.540000000000000000e+02,2.141767422995728004e-02,1.756378647476728727e-01,2.846766559809391861e+00
1.550000000000000000e+02,1.691519188828101081e-02,1.534166905473579867e-01,3.259097808824494624e+00
1.560000000000000000e+02,1.425230182625379823e-02,1.339336761264033893e-01,3.733191042468751331e+00
1.570000000000000000e+02,1.143722329415569963e-02,1.167841727298887106e-01,4.281402079684676565e+00
1.580000000000000000e+02,9.044555616026645622e-03,1.017006263339480104e-01,4.916390567332212136e+00
1.590000000000000000e+02,8.531397132714019921e-03,8.865693424577525406e-02,5.639716783053846605e+00
1.600000000000000000e+02,6.234003437332082988e-03,7.711772393259321012e-02,6.483593842020522580e+00
1.610000000000000000e+02,5.295101840416829853e-03,6.706255683968852244e-02,7.455725274466321828e+00
1.620000000000000000e+02,4.200193360164433502e-03,5.826182595255514907e-02,8.581948674371608021e+00
1.630000000000000000e+02,3.395218020031954588e-03,5.058050084200190616e-02,9.885232286683910630e+00
1.640000000000000000e+02,3.228534687456276284e-03,4.395122558036551608e-02,1.137624704197934200e+01
1.650000000000000000e+02,2.946974223402135541e-03,3.821063039039064579e-02,1.308536380822813960e+01
1.660000000000000000e+02,2.609493300241693108e-03,3.322647119776978714e-02,1.504824262028646586e+01
1.670000000000000000e+02,2.455066463584044088e-03,2.891847453498378254e-02,1.728998531354518420e+01
1.680000000000000000e+02,2.015473680254399082e-03,2.515205441532166949e-02,1.987909185244999932e+01
1.690000000000000000e+02,1.797339012665606639e-03,2.188239425894982285e-02,2.284941922182494878e+01
1.700000000000000000e+02,1.752037783438616190e-03,1.906414435237825319e-02,2.622724580542871209e+01
1.710000000000000000e+02,2.188327834954068886e-03,1.670153003993886734e-02,2.993737692321212762e+01
1.720000000000000000e+02,1.748406155044621548e-03,1.460809269605367264e-02,3.422760317882384129e+01
1.730000000000000000e+02,1.723682159126209857e-03,1.280427522088382723e-02,3.904945741751144794e+01
1.740000000000000000e+02,1.631990002427830986e-03,1.124015529029998711e-02,4.448337118896295550e+01
1.750000000000000000e+02,1.893081803406183828e-03,9.931565002134854631e-03,5.034453279946531268e+01
1.760000000000000000e+02,1.862218836065934269e-03,8.801856538885205819e-03,5.680619739609244334e+01
1.770000000000000000e+02,1.894911951597174748e-03,7.834884296664880454e-03,6.381715173673181596e+01
1.780000000000000000e+02,1.944330396131911535e-03,7.010206750590264151e-03,7.132457255385509143e+01
1.790000000000000000e+02,2.114463770971922608e-03,6.324802733443695563e-03,7.905384896135133488e+01
1.800000000000000000e+02,2.106759462761024094e-03,5.734276675548120872e-03,8.719495557863130841e+01
1.810000000000000000e+02,1.610402956129020503e-03,5.156934354829447245e-03,9.695682853355542363e+01
1.820000000000000000e+02,1.354870051087914270e-03,4.624645352305632728e-03,1.081163985365328131e+02
1.830000000000000000e+02,1.490901448433537254e-03,4.185921205763539453e-03,1.194480200228223623e+02
1.840000000000000000e+02,1.955909389064276489e-03,3.873719551425642421e-03,1.290749093635302813e+02
1.850000000000000000e+02,2.306821753290329985e-03,3.654353859686698940e-03,1.368230935476146897e+02
1.860000000000000000e+02,2.682960662816906254e-03,3.518358812124927713e-03,1.421117136424249168e+02
1.870000000000000000e+02,2.406322416175858334e-03,3.362673716692057748e-03,1.486912029311787933e+02
1.880000000000000000e+02,2.037369657585116380e-03,3.177131148417085618e-03,1.573746806923946622e+02
1.890000000000000000e+02,2.962612766232716049e-03,3.147098574911273618e-03,1.588764978593327157e+02
1.900000000000000000e+02,1.547988005567465901e-03,2.923223095203140477e-03,1.710440783053727216e+02
1.910000000000000000e+02,1.362456432898540319e-03,2.704715762480496607e-03,1.848623086151757775e+02
1.920000000000000000e+02,2.450207053772769476e-03,2.669084543261414540e-03,1.873301470582264585e+02
1.930000000000000000e+02,2.743544809837198273e-03,2.679508980582024150e-03,1.866013525699747788e+02
1.940000000000000000e+02,2.134699140320541096e-03,2.603235602945416435e-03,1.920686700175265571e+02
1.950000000000000000e+02,2.442603025122020571e-03,2.580747042050140702e-03,1.937423512855413037e+02
