I,Q
-4.176350870006994564e-01,-1.108656045158011756e-02
4.593073340952329997e-01,8.065498803238112246e-02
-3.952781832496847225e-01,-3.257924868223230352e-02
-2.677592616394922631e-01,-3.500167199848232963e-02
-1.587221985770839172e-01,-4.190066199015043957e-02
-2.332180793066032098e-01,3.137490357222259135e-02
-1.775757393911820692e-01,-6.771582904005157832e-02
1.273458565477744442e-01,-7.245104800216567442e-02
2.148525269644562252e-01,-4.083968802428004918e-02
-1.862982758817048889e-01,7.595964844769534374e-02
3.060520356420144972e-01,-2.353522458386651112e-02
-2.518533269742359026e-01,-2.901379240585122421e-02
-1.835662276598141740e-01,5.135979896778580106e-02
3.974741287841923598e-01,-8.820577098035310357e-03
-4.461772535894298897e-01,-3.453982892257327630e-02
-5.204883826036387218e-01,6.472453803986143173e-02
5.335812668911209533e-01,1.345839599369440531e-01
-1.879180514990520523e-01,-5.317494747133104382e-02
-2.734186085025164803e-01,1.544963671364808222e-01
-4.822771106200894331e-01,1.045731806169414441e-01
-6.209683004479920054e-01,8.735937233966362125e-02
-4.883380130969476318e-01,5.814533424842460024e-02
2.971987176843238210e-01,-3.130944418944842794e-02
-3.164684686486554654e-01,-8.148083452636263602e-02
-4.893211536641650650e-01,4.954489092134718026e-02
-3.750675072657553288e-01,7.916677105380104384e-02
-2.785823860449986311e-01,4.880143938421693806e-02
-2.504592871510192831e-01,-7.115402299583875774e-03
-1.192375745222990502e-01,-6.366602238957633220e-02
-1.960470548318278272e-01,3.854200443389275282e-02
-2.351980566278687179e-01,2.604022890346857286e-02
-1.880899663560586521e-01,-1.881264709773899924e-03
-3.201894468309360864e-01,2.335695960375687875e-03
-3.207510833714893872e-01,-1.994283989115881381e-02
-2.659848870246320218e-01,2.831941394956491269e-03
-5.204250577798296140e-01,-2.972874275055656032e-02
-4.281635219085466182e-01,2.093781419100216104e-02
-4.293907931524540422e-01,-4.628859635437280323e-02
-6.084456238474728051e-01,6.583490829109486797e-02
-1.899883742365863215e-01,2.106981784599830810e-03
-3.764158356019409735e-01,1.191821561372262139e-01
-5.081925781147931254e-01,6.560055109618771751e-02
-7.698721786115512167e-01,9.749094862323999522e-02
-7.906804555238049481e-01,1.086262129558308032e-01
-5.672592451885015707e-01,1.774012557422864275e-02
-4.284610722565765362e-01,1.483796647114918321e-02
-5.148395857109731022e-01,9.570804369592500471e-02
-3.857134310358595886e-01,4.577154101749268678e-02
-2.681662463866931190e-01,3.460283018234554253e-02
-1.835044718969034427e-01,-4.351753735910586507e-02
-1.918057889135656446e-01,1.345038706755865288e-01
-1.362217203096918183e-01,-2.404303885496548651e-02
-2.276754733042906931e-01,2.161877580022975726e-02
-1.919868655245274558e-01,-1.763890961946055699e-02
-3.204718208637336030e-01,-6.720049873490735112e-04
-3.815701401644554513e-01,-1.309374492871380469e-02
-2.604628145758180469e-01,-1.953862468137388883e-02
-3.990234572780205213e-01,2.735470450946747220e-02
-4.201332665176632508e-01,4.081826272316206247e-03
-4.125357940427361036e-01,-5.694327491884994957e-02
-5.684840683398674210e-01,6.424243691232243980e-02
-4.383935006527153178e-01,-4.234779477031914985e-03
-3.551471552041350344e-01,-5.788317549849808508e-02
-5.562094028667122769e-01,-7.427884125344462463e-02
-7.544881256746760467e-01,1.089762359451810075e-01
-7.799321163503656340e-01,1.022715317948409836e-01
-5.671793875163980703e-01,-6.693487342774314709e-03
-4.102957716775413322e-01,1.749417738696413052e-02
-4.258678437743462220e-01,1.478023186725060389e-01
-4.461576236387511663e-01,-1.310410674049973176e-02
-2.265064623909418262e-01,-5.360657659875520120e-02
-1.875483626401877879e-01,-2.951495657013010129e-02
-2.040661898394272589e-01,1.459313019993001004e-01
-1.364024345897943691e-01,-1.389926140127179660e-02
-1.985978662714978915e-01,-9.229534328636044768e-03
-1.977617647445624183e-01,2.853505218346288636e-03
-2.043473522933818010e-01,-1.387046074451678615e-02
-3.629937072595419978e-01,-2.888507529092618469e-03
-2.572003411322728583e-01,-1.525387839839689556e-02
-3.383599809602739761e-01,2.749245980958701582e-02
-4.297314903211872372e-01,-1.067426303457977704e-01
-4.531269800370071321e-01,5.829393990452479829e-02
-5.221267160275659958e-01,3.263345566708018841e-02
