Frequency,Power
8.774002954209748850e+00,3.883211759170757205e+02
8.862629246676513972e+00,4.442760803413179360e+02
8.951255539143279094e+00,5.558138572106972788e+02
9.039881831610044216e+00,6.505402028388531335e+02
9.128508124076809338e+00,1.615159870337540156e+02
9.217134416543574460e+00,1.008677727174721213e+03
9.305760709010339582e+00,3.497321764323413049e+02
9.394387001477104704e+00,6.464926484511776152e+02
9.483013293943869826e+00,4.684422134101953816e+03
9.571639586410634948e+00,1.107365010684041863e+03
9.660265878877400070e+00,1.008872031158840741e+03
9.748892171344165192e+00,4.113369008508467459e+02
9.837518463810930314e+00,2.835962511090284011e+02
9.926144756277695436e+00,8.895936019224684514e+02
1.001477104874446056e+01,3.398381495440775666e+02
1.010339734121122568e+01,6.070528962808599545e+02
1.019202363367799080e+01,8.048796636926709880e+02
1.028064992614475592e+01,1.403413700171947539e+03
1.036927621861152105e+01,1.309079391390190267e+03
1.045790251107828617e+01,4.496497951805859884e+03
1.054652880354505129e+01,3.596314494311336034e+02
1.063515509601181641e+01,3.440931957423316589e+02
1.072378138847858153e+01,2.611203584032724621e+02
1.081240768094534666e+01,3.377689003059212496e+02
1.090103397341211178e+01,2.511252702008181359e+02
1.098966026587887690e+01,3.832788187356125320e+01
1.107828655834564202e+01,5.188725738275118147e+02
1.116691285081240714e+01,5.875554333756391543e+02
1.125553914327917227e+01,1.302495158970309831e+03
1.134416543574593739e+01,3.138346863600190773e+03
1.143279172821270251e+01,3.940126908884158638e+03
1.152141802067946763e+01,6.082436009017055767e+02
1.161004431314623275e+01,1.128439614925308661e+03
1.169867060561299787e+01,2.783266713707699864e+02
1.178729689807976300e+01,9.493015038946315372e+02
1.187592319054652812e+01,4.167903102765799872e+02
1.196454948301329324e+01,1.071986038512182176e+03
1.205317577548005836e+01,1.005421399044423424e+03
1.214180206794682348e+01,1.412574334833117575e+02
1.223042836041358861e+01,7.328252835322318788e+02
1.231905465288035373e+01,3.950965080781982579e+03
1.240768094534711885e+01,1.729848617183660508e+03
1.249630723781388397e+01,5.942911115254942160e+02
1.258493353028064909e+01,7.512026817618176437e+02
1.267355982274741422e+01,4.995995537002244191e+02
1.276218611521417934e+01,3.203343681057869503e+02
1.285081240768094446e+01,5.744080243260156067e+02
1.293943870014770958e+01,1.069347943827173140e+03
1.302806499261447470e+01,6.550028802120627915e+02
1.311669128508123983e+01,6.112388493946491508e+02
1.320531757754800495e+01,3.128065710703394302e+02
1.329394387001477007e+01,4.893401251425196278e+03
1.338257016248153519e+01,5.024363842129625937e+02
1.347119645494830031e+01,2.775675576736045969e+02
1.355982274741506544e+01,1.239134485541157176e+02
1.364844903988183056e+01,5.558542779010761024e+02
1.373707533234859568e+01,1.161680373547748331e+03
1.382570162481536080e+01,1.090678035699641441e+03
1.391432791728212592e+01,6.307372463056649394e+02
1.400295420974889105e+01,7.954101641176081330e+02
1.409158050221565617e+01,7.809031264146345848e+02
1.418020679468242129e+01,2.031115913331998627e+03
1.426883308714918641e+01,4.329377427861762953e+03
1.435745937961595153e+01,1.342654146070121897e+03
1.444608567208271666e+01,2.144849759887447647e+02
1.453471196454948178e+01,1.102913198455240007e+02
1.462333825701624690e+01,2.626752095666027458e+02
1.471196454948301202e+01,6.801460911411737698e+02
1.480059084194977714e+01,4.648960830170119038e+02
1.488921713441654227e+01,1.668329123878958455e+02
1.497784342688330739e+01,1.932823363954980493e+02
1.506646971935007251e+01,8.738923480348702242e+02
1.515509601181683763e+01,3.836620866020664835e+03
1.524372230428360275e+01,2.226595655943492147e+03
1.533234859675036788e+01,1.202289981890347235e+03
1.542097488921713300e+01,6.565759038938779213e+02
1.550960118168389812e+01,9.599403698361944635e+02
1.559822747415066324e+01,4.509248238426764601e+02
1.568685376661742836e+01,3.170684071344120412e+02
1.577548005908419348e+01,1.839461440886125274e+02
1.586410635155095861e+01,3.215017530614048837e+02
1.595273264401772373e+01,6.180088632432985918e+01
1.604135893648448885e+01,4.557700058767669020e+02
1.612998522895125575e+01,4.096470406635983636e+03
1.621861152141801909e+01,1.040650788889361820e+03
1.630723781388478599e+01,6.501288182348463351e+02
1.639586410635154934e+01,6.263465558803842441e+02
1.648449039881831624e+01,1.129979057947577132e+02
1.657311669128507958e+01,5.226302861463103682e+02
1.666174298375184648e+01,3.816177233911212738e+02
1.675036927621860983e+01,1.276507275318677557e+03
